Country,Year,Happiness Score,gdp_per_capita,social_support,life_expectancy,freedom_of_choice,generosity,perceptions_of_corruption
Turkmenistan,2020,5.119,9.748,0.959,62.212,0.826,0.188,0.884
Russia,2020,5.546,10.129,0.903,64.1,0.73,-0.151,0.865
Hong Kong S.A.R. of China,2020,5.51,10.935,0.846,76.772,0.78,0.135,0.421
Armenia,2020,4.677,9.1,0.757,66.751,0.712,-0.139,0.774
Tajikistan,2020,5.556,8.025,0.835,64.105,0.831,-0.025,0.592
Nepal,2020,5.137,7.925,0.786,63.779,0.798,0.154,0.738
Bulgaria,2020,5.102,9.869,0.938,66.804,0.745,-0.144,0.936
Libya,2020,5.489,9.79,0.826,62.3,0.773,-0.085,0.669
Indonesia,2020,5.286,9.37,0.808,62.156,0.871,0.52,0.876
Ivory Coast,2020,5.233,8.226,0.658,49.504,0.728,-0.044,0.791
North Macedonia,2020,5.16,9.511,0.82,67.504,0.739,-0.02,0.897
Albania,2020,4.883,9.418,0.671,68.708,0.782,-0.042,0.896
South Africa,2020,4.814,9.403,0.853,56.506,0.759,-0.11,0.843
Azerbaijan,2020,5.165,9.688,0.819,65.508,0.787,-0.24,0.553
Bangladesh,2020,4.833,8.287,0.687,64.503,0.901,-0.034,0.662
Laos,2020,4.889,8.799,0.738,58.71,0.907,0.111,0.635
Algeria,2020,5.005,9.538,0.803,65.905,0.467,-0.121,0.735
Liberia,2020,4.558,7.054,0.709,56.096,0.735,0.042,0.856
Ukraine,2020,4.561,9.011,0.879,64.607,0.663,-0.031,0.921
Morocco,2020,5.095,8.94,0.593,65.896,0.772,-0.24,0.816
Mozambique,2020,4.624,7.069,0.724,54.206,0.864,0.032,0.683
Cameroon,2020,5.085,8.119,0.7,52.705,0.763,-0.001,0.851
Senegal,2020,4.981,8.119,0.724,59.599,0.691,-0.052,0.809
Niger,2020,4.91,6.842,0.617,53.5,0.76,0.014,0.723
Georgia,2020,4.673,9.226,0.629,64.495,0.802,-0.229,0.666
Gabon,2020,4.829,9.681,0.788,59.715,0.705,-0.222,0.849
Iraq,2020,4.785,9.661,0.748,59.904,0.633,-0.07,0.822
Venezuela,2020,5.053,8.978,0.89,66.505,0.623,-0.169,0.837
Guinea,2020,4.949,7.751,0.638,54.468,0.707,0.076,0.762
Iran,2020,4.672,9.814,0.695,66.006,0.648,0.118,0.715
Ghana,2020,5.148,8.351,0.729,57.204,0.795,0.094,0.848
Turkey,2020,5.132,10.129,0.826,66.903,0.609,-0.171,0.748
Burkina Faso,2020,4.769,7.469,0.713,53.889,0.666,-0.019,0.74
Cambodia,2020,4.848,8.25,0.773,61.53,0.96,0.052,0.823
Benin,2020,5.216,7.674,0.469,54.312,0.735,-0.004,0.741
Uganda,2020,4.432,7.5,0.765,55.708,0.732,0.099,0.837
Nigeria,2020,4.724,8.577,0.737,49.862,0.76,0.034,0.862
Kenya,2020,4.583,8.03,0.703,60.097,0.83,0.295,0.831
Tunisia,2020,4.392,9.315,0.689,66.898,0.593,-0.216,0.868
Pakistan,2020,5.693,8.483,0.689,58.253,0.735,0.045,0.746
Palestinian Territories,2020,4.553,8.389,0.825,62.25,0.646,-0.162,0.824
Mali,2020,4.729,7.63,0.731,51.727,0.712,-0.044,0.839
Namibia,2020,4.571,9.203,0.847,56.501,0.768,-0.185,0.851
Myanmar,2020,4.308,8.68,0.784,58.962,0.895,0.561,0.645
Sri Lanka,2020,4.327,9.39,0.825,67.2,0.838,0.081,0.859
Madagascar,2020,4.166,7.282,0.668,59.105,0.558,-0.012,0.817
Egypt,2020,4.151,9.317,0.735,61.78,0.708,-0.197,0.788
Chad,2020,4.423,7.468,0.632,48.221,0.587,0.018,0.803
Ethiopia,2020,4.186,7.509,0.743,58.64,0.741,0.043,0.754
Yemen,2020,3.527,7.76,0.818,56.727,0.6,-0.158,0.8
Mauritania,2020,4.375,8.234,0.791,57.01,0.552,-0.106,0.746
Jordan,2020,4.633,9.026,0.802,66.8,0.751,-0.163,0.7
Togo,2020,4.187,7.358,0.551,54.72,0.65,0.003,0.758
India,2020,3.573,8.85,0.592,60.215,0.881,0.058,0.772
Zambia,2020,3.759,8.225,0.699,55.299,0.807,0.078,0.801
Malawi,2020,3.538,7.062,0.544,57.593,0.803,0.021,0.732
Tanzania,2020,3.476,7.968,0.689,57.496,0.822,0.11,0.62
Sierra Leone,2020,3.926,7.269,0.636,50.865,0.715,0.089,0.861
Lesotho,2020,3.653,7.96,0.78,48.004,0.738,-0.146,0.857
Botswana,2020,3.479,9.711,0.779,58.924,0.821,-0.25,0.778
Rwanda,2020,3.312,7.6,0.541,61.099,0.901,0.055,0.184
Zimbabwe,2020,3.299,7.866,0.763,55.617,0.711,-0.072,0.81
Lebanon,2020,4.772,9.362,0.824,67.107,0.551,-0.061,0.902
Afghanistan,2020,2.567,7.463,0.47,52.59,0.397,-0.096,0.934
Finland,2021,7.842,10.775,0.954,72,0.949,-0.098,0.186
Denmark,2021,7.62,10.933,0.954,72.7,0.946,0.03,0.179
Iceland,2021,7.554,10.878,0.983,73,0.955,0.16,0.673
Switzerland,2021,7.571,11.117,0.942,74.4,0.919,0.025,0.292
Netherlands,2021,7.464,10.932,0.942,72.4,0.913,0.175,0.338
Luxembourg,2021,7.324,11.647,0.908,72.6,0.907,-0.034,0.386
Sweden,2021,7.363,10.867,0.934,72.7,0.945,0.086,0.237
Norway,2021,7.392,11.053,0.954,73.3,0.96,0.093,0.27
Israel,2021,7.157,10.575,0.939,73.503,0.8,0.031,0.753
New Zealand,2021,7.277,10.643,0.948,73.4,0.929,0.134,0.242
Austria,2021,7.268,10.906,0.934,73.3,0.908,0.042,0.481
Australia,2021,7.183,10.796,0.94,73.9,0.914,0.159,0.442
Ireland,2021,7.085,11.342,0.947,72.4,0.879,0.077,0.363
Germany,2021,7.155,10.873,0.903,72.5,0.875,0.011,0.46
Canada,2021,7.103,10.776,0.926,73.8,0.915,0.089,0.415
United States,2021,6.951,11.023,0.92,68.2,0.837,0.098,0.698
United Kingdom,2021,7.064,10.707,0.934,72.5,0.859,0.233,0.459
Czech Republic,2021,6.965,10.556,0.947,70.807,0.858,-0.208,0.868
Belgium,2021,6.834,10.823,0.906,72.199,0.783,-0.153,0.646
France,2021,6.69,10.704,0.942,74,0.822,-0.147,0.571
Bahrain,2021,6.647,10.669,0.862,69.495,0.925,0.089,0.722
Slovenia,2021,6.461,10.529,0.948,71.4,0.949,-0.101,0.806
Costa Rica,2021,7.069,9.88,0.891,71.4,0.934,-0.126,0.809
Saudi Arabia,2021,6.494,10.743,0.891,66.603,0.877,-0.149,0.684
Taiwan Province of China,2021,6.584,10.871,0.898,69.6,0.784,-0.07,0.721
Singapore,2021,6.377,11.488,0.915,76.953,0.927,-0.018,0.082
Romania,2021,6.14,10.284,0.832,67.355,0.845,-0.219,0.938
Spain,2021,6.491,10.571,0.932,74.7,0.761,-0.081,0.745
Uruguay,2021,6.431,9.966,0.925,69.1,0.896,-0.092,0.59
Italy,2021,6.483,10.623,0.88,73.8,0.693,-0.084,0.866
Kosovo,2021,6.372,9.318,0.821,63.813,0.869,0.257,0.917
Malta,2021,6.602,10.674,0.931,72.2,0.927,0.133,0.653
Lithuania,2021,6.255,10.499,0.935,67.906,0.773,-0.203,0.826
Slovakia,2021,6.331,10.369,0.936,69.201,0.766,-0.124,0.911
Estonia,2021,6.189,10.481,0.941,68.8,0.909,-0.106,0.527
Panama,2021,6.18,10.35,0.896,69.652,0.872,-0.166,0.856
Brazil,2021,6.33,9.577,0.882,66.601,0.804,-0.071,0.756
Guatemala,2021,6.435,9.053,0.813,64.958,0.906,-0.038,0.775
Kazakhstan,2021,6.152,10.155,0.952,65.2,0.853,-0.069,0.733
Cyprus,2021,6.223,10.576,0.802,73.898,0.763,-0.015,0.844
Latvia,2021,6.032,10.315,0.927,67.1,0.715,-0.162,0.8
Serbia,2021,6.078,9.787,0.873,68.6,0.778,0.002,0.835
Chile,2021,6.172,10.071,0.882,70,0.742,-0.044,0.83
Nicaragua,2021,5.972,8.62,0.864,67.657,0.836,0.02,0.664
Mexico,2021,6.317,9.859,0.831,68.597,0.862,-0.147,0.799
Croatia,2021,5.882,10.217,0.924,70.799,0.754,-0.118,0.939
Poland,2021,6.166,10.382,0.898,69.702,0.841,-0.165,0.735
El Salvador,2021,6.061,9.054,0.762,66.402,0.888,-0.11,0.688
Kuwait,2021,6.106,10.817,0.843,66.9,0.867,-0.104,0.736
Hungary,2021,5.992,10.358,0.943,68,0.755,-0.186,0.876
Mauritius,2021,6.049,10.008,0.905,66.701,0.867,-0.054,0.789
Uzbekistan,2021,6.179,8.836,0.918,65.255,0.97,0.311,0.515
Japan,2021,5.94,10.611,0.884,75.1,0.796,-0.258,0.638
Honduras,2021,5.919,8.648,0.812,67.3,0.857,0.081,0.809
Portugal,2021,5.929,10.421,0.879,72.6,0.892,-0.244,0.887
Argentina,2021,5.929,9.962,0.898,69,0.828,-0.182,0.834
Greece,2021,5.723,10.279,0.823,72.6,0.582,-0.288,0.823
South Korea,2021,5.845,10.651,0.799,73.9,0.672,-0.083,0.727
Philippines,2021,5.88,9.076,0.83,62,0.917,-0.097,0.742
Thailand,2021,5.985,9.805,0.888,67.401,0.884,0.287,0.895
Moldova,2021,5.766,9.454,0.857,65.699,0.822,-0.079,0.918
Jamaica,2021,6.309,9.186,0.877,67.5,0.89,-0.137,0.884
Kyrgyzstan,2021,5.744,8.538,0.893,64.401,0.935,0.119,0.908
Belarus,2021,5.534,9.853,0.91,66.253,0.65,-0.18,0.627
Colombia,2021,6.012,9.557,0.847,68.001,0.837,-0.135,0.841
Bosnia and Herzegovina,2021,5.813,9.59,0.87,68.098,0.706,0.113,0.931
Mongolia,2021,5.677,9.4,0.935,62.5,0.708,0.116,0.856
Dominican Republic,2021,5.545,9.802,0.853,66.102,0.86,-0.133,0.714
Malaysia,2021,5.384,10.238,0.817,67.102,0.895,0.125,0.839
Bolivia,2021,5.716,9.046,0.81,63.901,0.875,-0.077,0.839
China,2021,5.339,9.673,0.811,69.593,0.904,-0.146,0.755
Paraguay,2021,5.653,9.448,0.893,65.9,0.876,0.028,0.882
Peru,2021,5.84,9.458,0.832,68.25,0.822,-0.154,0.891
Montenegro,2021,5.581,9.94,0.858,68.699,0.708,-0.034,0.812
Ecuador,2021,5.764,9.313,0.821,68.8,0.842,-0.124,0.843
Vietnam,2021,5.411,8.973,0.85,68.034,0.94,-0.098,0.796
Turkmenistan,2021,5.066,9.629,0.983,62.409,0.877,0.273,0.888
Russia,2021,5.477,10.189,0.903,64.703,0.718,-0.111,0.845
Hong Kong S.A.R. of China,2021,5.477,11,0.836,76.82,0.717,0.067,0.403
Armenia,2021,5.283,9.487,0.799,67.055,0.825,-0.168,0.629
Tajikistan,2021,5.466,8.091,0.86,64.281,0.832,-0.056,0.553
Nepal,2021,5.269,8.12,0.774,64.233,0.782,0.152,0.727
Bulgaria,2021,5.266,10.016,0.931,67,0.788,-0.096,0.932
Libya,2021,5.41,9.622,0.827,62.3,0.771,-0.087,0.667
Indonesia,2021,5.345,9.365,0.811,62.236,0.873,0.542,0.867
Ivory Coast,2021,5.306,8.551,0.644,50.114,0.741,-0.016,0.794
North Macedonia,2021,5.101,9.693,0.805,65.474,0.751,0.038,0.905
Albania,2021,5.117,9.52,0.697,68.999,0.785,-0.03,0.901
South Africa,2021,4.956,9.403,0.86,56.904,0.749,-0.067,0.86
Azerbaijan,2021,5.171,9.569,0.836,65.656,0.814,-0.223,0.506
Bangladesh,2021,5.025,8.454,0.693,64.8,0.877,-0.041,0.682
Laos,2021,5.03,8.947,0.728,58.968,0.91,0.123,0.658
Algeria,2021,4.887,9.342,0.802,66.005,0.48,-0.067,0.752
Liberia,2021,4.625,7.288,0.72,56.498,0.735,0.05,0.85
Ukraine,2021,4.875,9.436,0.888,64.902,0.724,-0.011,0.924
Morocco,2021,4.918,8.903,0.56,66.208,0.774,-0.236,0.801
Mozambique,2021,4.794,7.158,0.744,54.706,0.882,0.061,0.684
Cameroon,2021,5.142,8.189,0.71,53.515,0.731,0.026,0.848
Senegal,2021,5.132,8.118,0.71,59.802,0.695,-0.046,0.801
Niger,2021,5.074,7.098,0.641,53.78,0.806,0.018,0.693
Georgia,2021,4.891,9.585,0.671,64.3,0.783,-0.238,0.655
Gabon,2021,4.852,9.603,0.776,59.962,0.731,-0.2,0.84
Iraq,2021,4.854,9.24,0.746,60.583,0.63,-0.053,0.875
Venezuela,2021,4.892,9.073,0.861,66.7,0.615,-0.169,0.827
Guinea,2021,4.984,7.838,0.639,55.008,0.697,0.095,0.766
Iran,2021,4.721,9.584,0.71,66.3,0.608,0.218,0.714
Ghana,2021,5.088,8.58,0.727,57.586,0.807,0.123,0.848
Turkey,2021,4.948,10.24,0.822,67.199,0.576,-0.139,0.776
Burkina Faso,2021,4.834,7.678,0.672,54.151,0.695,-0.009,0.748
Cambodia,2021,4.83,8.36,0.765,62,0.959,0.034,0.843
Benin,2021,5.045,8.087,0.489,54.713,0.757,-0.034,0.661
Uganda,2021,4.636,7.677,0.781,56.101,0.709,0.122,0.855
Nigeria,2021,4.759,8.533,0.74,50.102,0.737,0.037,0.878
Kenya,2021,4.607,8.361,0.688,60.704,0.779,0.287,0.825
Tunisia,2021,4.596,9.266,0.691,67.201,0.656,-0.201,0.87
Pakistan,2021,4.934,8.458,0.651,58.709,0.726,0.098,0.787
Palestinian Territories,2021,4.517,8.485,0.826,62.25,0.653,-0.163,0.821
Mali,2021,4.723,7.744,0.724,51.969,0.697,-0.036,0.827
Namibia,2021,4.574,9.161,0.818,56.799,0.719,-0.149,0.847
Myanmar,2021,4.426,8.541,0.779,59.302,0.876,0.509,0.66
Sri Lanka,2021,4.325,9.47,0.827,67.299,0.841,0.079,0.863
Madagascar,2021,4.208,7.396,0.686,59.305,0.552,-0.005,0.803
Egypt,2021,4.283,9.367,0.75,61.998,0.749,-0.182,0.795
Chad,2021,4.355,7.364,0.619,48.478,0.579,0.041,0.807
Ethiopia,2021,4.275,7.694,0.764,59,0.752,0.082,0.761
Yemen,2021,3.658,7.578,0.832,57.122,0.602,-0.147,0.8
Mauritania,2021,4.227,8.542,0.795,57.161,0.561,-0.106,0.731
Jordan,2021,4.395,9.182,0.767,67,0.755,-0.167,0.705
Togo,2021,4.107,7.362,0.569,54.914,0.619,0.032,0.772
India,2021,3.819,8.755,0.603,60.633,0.893,0.089,0.774
Zambia,2021,4.073,8.145,0.708,55.809,0.782,0.061,0.823
Malawi,2021,3.6,6.958,0.537,57.948,0.78,0.038,0.729
Tanzania,2021,3.623,7.876,0.702,57.999,0.833,0.183,0.577
Sierra Leone,2021,3.849,7.434,0.63,51.651,0.717,0.084,0.866
Lesotho,2021,3.512,7.926,0.787,48.7,0.715,-0.131,0.915
Botswana,2021,3.467,9.782,0.784,59.269,0.824,-0.246,0.801
Rwanda,2021,3.415,7.676,0.552,61.4,0.897,0.061,0.167
Zimbabwe,2021,3.145,7.943,0.75,56.201,0.677,-0.047,0.821
Lebanon,2021,4.584,9.626,0.848,67.355,0.525,-0.073,0.898
Afghanistan,2021,2.523,7.695,0.463,52.493,0.382,-0.102,0.924
Finland,2022,7.821,18.92,1.258,77.5,0.736,0.109,0.534
Denmark,2022,7.636,19.53,1.243,77.7,0.719,0.188,0.532
Iceland,2022,7.557,19.36,1.32,80.3,0.718,0.27,0.191
Switzerland,2022,7.512,20.26,1.226,82.2,0.677,0.147,0.461
Netherlands,2022,7.415,19.45,1.206,78.7,0.651,0.271,0.419
Luxembourg,2022,7.404,22.09,1.155,79,0.7,0.12,0.388
Sweden,2022,7.384,19.2,1.204,80.3,0.724,0.218,0.512
Norway,2022,7.365,19.97,1.239,78.6,0.728,0.217,0.474
Israel,2022,7.364,18.26,1.221,81.8,0.568,0.155,0.143
New Zealand,2022,7.2,18.52,1.235,75.2,0.68,0.245,0.483
Austria,2022,7.163,19.31,1.165,77.4,0.623,0.193,0.329
Australia,2022,7.162,19,1.203,77.2,0.676,0.258,0.341
Ireland,2022,7.041,21.29,1.166,77.9,0.627,0.19,0.408
Germany,2022,7.034,19.24,1.088,77.6,0.585,0.163,0.358
Canada,2022,7.025,18.86,1.188,78.3,0.659,0.217,0.368
United States,2022,6.977,19.82,1.182,62.8,0.574,0.22,0.177
United Kingdom,2022,6.943,18.67,1.143,75,0.597,0.289,0.329
Czech Republic,2022,6.92,18.15,1.26,71.5,0.66,0.158,0.048
Belgium,2022,6.805,19.07,1.106,76.4,0.492,0.049,0.204
France,2022,6.687,18.63,1.219,80.8,0.567,0.07,0.266
Bahrain,2022,6.647,18.54,1.029,62.5,0.693,0.199,0.155
Slovenia,2022,6.63,18.1,1.249,76.9,0.685,0.118,0.115
Costa Rica,2022,6.582,15.84,1.054,74.4,0.661,0.089,0.102
Saudi Arabia,2022,6.523,18.7,1.092,57.7,0.651,0.078,0.18
Taiwan Province of China,2022,6.512,18.97,1.095,73.3,0.542,0.075,0.168
Singapore,2022,6.48,21.49,1.127,85.1,0.672,0.163,0.587
Romania,2022,6.477,17.19,1.006,65.5,0.605,0.039,0.006
Spain,2022,6.476,18.08,1.211,80.8,0.505,0.101,0.149
Uruguay,2022,6.474,16.15,1.18,67.2,0.665,0.103,0.265
Italy,2022,6.467,18.34,1.052,80.1,0.412,0.085,0.059
Kosovo,2022,6.455,13.62,0.949,56.9,0.599,0.309,0.035
Malta,2022,6.447,18.38,1.169,78.9,0.679,0.174,0.166
Lithuania,2022,6.446,18.04,1.204,65.9,0.496,0.053,0.077
Slovakia,2022,6.391,17.36,1.232,70.7,0.479,0.118,0.025
Estonia,2022,6.341,17.93,1.232,72.8,0.689,0.123,0.333
Panama,2022,6.309,17.15,1.107,70.9,0.592,0.049,0.051
Brazil,2022,6.293,14.62,1.044,61.5,0.546,0.131,0.134
Guatemala,2022,6.262,12.74,0.831,52.2,0.662,0.112,0.115
Kazakhstan,2022,6.234,16.68,1.22,61.1,0.584,0.134,0.157
Cyprus,2022,6.221,18.15,0.909,81.9,0.448,0.123,0.062
Latvia,2022,6.18,17.32,1.221,63.7,0.502,0.075,0.09
Serbia,2022,6.178,15.5,1.086,65.8,0.546,0.219,0.088
Chile,2022,6.172,16.51,1.08,74.8,0.46,0.124,0.069
Nicaragua,2022,6.165,11.05,1.029,61.7,0.617,0.168,0.212
Mexico,2022,6.128,15.52,0.886,62.3,0.621,0.092,0.115
Croatia,2022,6.125,17.05,1.183,70.9,0.535,0.109,0
Poland,2022,6.123,17.58,1.174,71.2,0.523,0.124,0.14
El Salvador,2022,6.12,12.65,0.768,60.7,0.666,0.089,0.212
Kuwait,2022,6.106,19.04,0.983,74.7,0.617,0.087,0.147
Hungary,2022,6.086,17.48,1.233,66.8,0.485,0.078,0.064
Mauritius,2022,6.071,15.91,1.116,56.8,0.589,0.131,0.107
Uzbekistan,2022,6.063,12.19,1.092,60,0.716,0.283,0.24
Japan,2022,6.039,18.35,1.089,86.6,0.537,0.007,0.218
Honduras,2022,6.022,11.11,0.885,55.5,0.582,0.202,0.076
Portugal,2022,6.016,17.6,1.078,77.7,0.655,0.016,0.039
Argentina,2022,5.967,15.92,1.102,66.2,0.555,0.081,0.085
Greece,2022,5.948,17.03,0.98,77.4,0.249,0.015,0.108
South Korea,2022,5.935,18.51,0.886,84.1,0.414,0.111,0.176
Philippines,2022,5.904,12.68,0.912,51.4,0.678,0.107,0.142
Thailand,2022,5.891,15.35,1.096,69.7,0.617,0.321,0.026
Moldova,2022,5.857,14.17,1.008,59.7,0.561,0.102,0.028
Jamaica,2022,5.85,12.96,1.045,64.6,0.567,0.08,0.053
Kyrgyzstan,2022,5.828,10.69,1.109,63.8,0.693,0.208,0.025
Belarus,2022,5.821,15.62,1.157,62.9,0.342,0.04,0.282
Colombia,2022,5.781,14.52,0.929,72,0.545,0.087,0.077
Bosnia and Herzegovina,2022,5.768,14.68,1.068,66.5,0.448,0.244,0.006
Mongolia,2022,5.761,13.93,1.197,46.7,0.398,0.247,0.059
Dominican Republic,2022,5.737,15.38,1.003,57.7,0.606,0.084,0.179
Malaysia,2022,5.711,16.89,0.938,62,0.654,0.213,0.126
Bolivia,2022,5.6,12.56,0.88,55.5,0.627,0.112,0.064
China,2022,5.585,15.08,0.958,70.5,0.656,0.099,0.142
Paraguay,2022,5.578,14.09,1.13,62.4,0.629,0.171,0.059
Peru,2022,5.559,13.97,0.865,73.5,0.545,0.09,0.037
Montenegro,2022,5.547,15.73,1.023,65.9,0.46,0.135,0.077
Ecuador,2022,5.533,13.52,0.879,70.8,0.565,0.08,0.083
Vietnam,2022,5.485,12.52,0.932,61.1,0.707,0.143,0.105
Turkmenistan,2022,5.474,14.84,1.319,51.6,0.649,0.314,0.032
Russia,2022,5.459,16.85,1.095,58.6,0.401,0.117,0.08
Hong Kong S.A.R. of China,2022,5.425,19.57,0.954,94.2,0.4,0.147,0.383
Armenia,2022,5.399,14.34,0.82,66.8,0.558,0.054,0.21
Tajikistan,2022,5.377,9.66,1.005,51.8,0.572,0.118,0.304
Nepal,2022,5.377,9.84,0.784,49.9,0.519,0.237,0.13
Bulgaria,2022,5.371,16.25,1.163,64,0.563,0.123,0.021
Libya,2022,5.33,14.76,0.943,60.6,0.477,0.106,0.179
Indonesia,2022,5.24,13.82,0.883,53.9,0.62,0.468,0.047
Ivory Coast,2022,5.235,10.94,0.442,32.2,0.451,0.149,0.124
North Macedonia,2022,5.199,15.05,0.863,63.7,0.488,0.215,0.031
Albania,2022,5.199,14.39,0.646,71.9,0.511,0.138,0.028
South Africa,2022,5.194,14.25,1.088,36.1,0.442,0.089,0.046
Azerbaijan,2022,5.173,14.58,1.093,56,0.601,0.023,0.341
Bangladesh,2022,5.155,10.6,0.614,58.1,0.622,0.125,0.187
Laos,2022,5.14,12.39,0.654,47.9,0.679,0.197,0.184
Algeria,2022,5.122,13.63,0.97,64.3,0.146,0.106,0.15
Liberia,2022,5.122,6.36,0.67,30.9,0.405,0.178,0.08
Ukraine,2022,5.084,14.11,1.081,58.3,0.473,0.188,0.017
Morocco,2022,5.06,12.08,0.268,56.5,0.492,0.02,0.102
Mozambique,2022,5.048,5.78,0.66,19.1,0.593,0.185,0.2
Cameroon,2022,5.048,9.68,0.672,31.7,0.397,0.152,0.074
Senegal,2022,5.046,9.33,0.53,44.7,0.494,0.143,0.081
Niger,2022,5.003,5.7,0.56,32.6,0.571,0.165,0.145
Georgia,2022,4.973,14.67,0.612,59.5,0.508,0,0.208
Gabon,2022,4.958,14.59,0.738,39.6,0.343,0.032,0.099
Iraq,2022,4.941,12.89,0.682,55.4,0.328,0.147,0.046
Venezuela,2022,4.925,0,0.968,57.8,0.283,0.225,0.082
Guinea,2022,4.891,8.48,0.566,27.5,0.334,0.214,0.116
Iran,2022,4.888,14.1,0.741,64.2,0.281,0.241,0.146
Ghana,2022,4.872,11.12,0.595,40.9,0.5,0.23,0.056
Turkey,2022,4.744,17.07,0.865,70.2,0.209,0.087,0.115
Burkina Faso,2022,4.67,7.79,0.565,32,0.382,0.186,0.126
Cambodia,2022,4.64,10.19,0.732,50.5,0.74,0.166,0.068
Benin,2022,4.623,9.32,0.064,33.5,0.479,0.127,0.23
Uganda,2022,4.603,7.77,0.875,41.8,0.402,0.222,0.066
Nigeria,2022,4.552,10.79,0.732,30,0.444,0.175,0.038
Kenya,2022,4.543,10.32,0.605,40.1,0.44,0.322,0.082
Tunisia,2022,4.516,13.5,0.596,65.6,0.316,0.029,0.029
Pakistan,2022,4.516,10.49,0.413,37.4,0.448,0.181,0.112
Palestinian Territories,2022,4.483,11.48,0.957,52.1,0.336,0.073,0.079
Mali,2022,4.479,7.92,0.483,31.1,0.35,0.128,0.042
Namibia,2022,4.459,12.92,0.877,35.4,0.384,0.067,0.071
Myanmar,2022,4.394,10.38,0.829,49.1,0.513,0.452,0.194
Sri Lanka,2022,4.362,14.15,0.934,66,0.529,0.15,0.079
Madagascar,2022,4.339,6.7,0.645,37.8,0.202,0.143,0.154
Egypt,2022,4.288,13.88,0.732,54.8,0.469,0.041,0.254
Chad,2022,4.251,6.62,0.506,22.5,0.18,0.182,0.077
Ethiopia,2022,4.241,7.88,0.809,45.7,0.472,0.205,0.136
Yemen,2022,4.197,6.91,1.043,38.4,0.33,0.09,0.098
Mauritania,2022,4.153,11,0.865,45,0.304,0.088,0.138
Jordan,2022,4.152,13.24,0.724,67.5,0.476,0.058,0.2
Togo,2022,4.112,7.71,0.322,36,0.292,0.174,0.132
India,2022,3.777,11.67,0.376,47.1,0.647,0.198,0.123
Zambia,2022,3.76,9.3,0.577,30.6,0.525,0.203,0.083
Malawi,2022,3.75,6.48,0.279,38.8,0.477,0.14,0.157
Tanzania,2022,3.702,8.48,0.597,42.5,0.578,0.248,0.27
Sierra Leone,2022,3.574,6.86,0.416,27.3,0.387,0.202,0.055
Lesotho,2022,3.512,8.39,0.848,0,0.419,0.076,0.018
Botswana,2022,3.471,15.03,0.815,28,0.571,0.012,0.102
Rwanda,2022,3.268,7.85,0.133,46.2,0.621,0.187,0.544
Zimbabwe,2022,2.995,9.47,0.69,27,0.329,0.106,0.105
Lebanon,2022,2.955,13.92,0.498,63.1,0.103,0.082,0.034
Afghanistan,2022,2.404,7.58,0,28.9,0,0.089,0.005
